51.81.244.144,us-west1-10,data-pool/celo-mainnet-archive,1.63T
162.19.136.66,eu-de1-10,data-pool/celo-mainnet-archive,1.64T
135.125.160.121,eu-de1-02,data-pool/celo-testnet-archive,290G
135.125.160.122,eu-de1-03,data-pool/celo-testnet-archive,290G
162.19.136.66,eu-de1-10,data-pool/celo-testnet-archive,291G
51.81.244.142,us-west1-12,data-pool/celo-testnet-archive,291G
51.81.244.143,us-west1-11,data-pool/celo-testnet-archive,291G
51.81.244.144,us-west1-10,data-pool/celo-testnet-archive,291G
135.125.160.121,eu-de1-02,data-pool/dogecoin-mainnet,64.3G
135.125.160.122,eu-de1-03,data-pool/dogecoin-mainnet,64.3G
162.19.136.25,eu-de1-09,data-pool/dogecoin-mainnet,64.3G
51.81.184.86,us-west1-13,data-pool/dogecoin-mainnet,64.4G
51.81.244.142,us-west1-12,data-pool/dogecoin-mainnet,64.4G
51.81.244.143,us-west1-11,data-pool/dogecoin-mainnet,64.4G
135.125.160.121,eu-de1-02,data-pool/dogecoin-testnet,3.53G
135.125.160.122,eu-de1-03,data-pool/dogecoin-testnet,3.53G
162.19.136.25,eu-de1-09,data-pool/dogecoin-testnet,3.56G
51.81.244.142,us-west1-12,data-pool/dogecoin-testnet,3.56G
51.81.244.143,us-west1-11,data-pool/dogecoin-testnet,3.56G
51.81.244.144,us-west1-10,data-pool/dogecoin-testnet,3.59G
162.19.136.65,eu-de1-11,data-pool/eos-mainnet-archive,442G
51.81.184.85,us-west1-02,data-pool/eos-mainnet-archive,442G
51.81.184.91,us-west1-17,data-pool/eos-mainnet-archive,442G
141.95.45.187,eu-de1-07,data-pool/eos-mainnet-archive,450G
141.95.45.187,eu-de1-07,data-pool/eos-testnet-archive,28.7G
162.19.136.65,eu-de1-11,data-pool/eos-testnet-archive,28.7G
51.81.184.85,us-west1-02,data-pool/eos-testnet-archive,28.7G
51.81.184.91,us-west1-17,data-pool/eos-testnet-archive,28.7G
51.81.184.9,us-west1-01,data-pool/etc-dump,699G
135.125.160.122,eu-de1-03,data-pool/ethereum-classic-archive,1.42T
141.95.45.80,eu-de1-01,data-pool/ethereum-classic-archive,1.42T
51.81.184.88,us-west1-14,data-pool/ethereum-classic-archive,1.42T
51.81.184.91,us-west1-17,data-pool/ethereum-classic-archive,1.42T
51.81.184.91,us-west1-17,data-pool/ethereum-goerli,466G
162.19.136.65,eu-de1-11,data-pool/ethereum-goerli,467G
51.81.244.140,us-west1-09,data-pool/ethereum-goerli,469G
51.81.184.87,us-west1-19,data-pool/ethereum-goerli,537G
162.19.136.66,eu-de1-10,data-pool/ethereum-goerli,571G
135.125.160.122,eu-de1-03,data-pool/ethereum-goerli,578G
51.81.184.92,us-west1-15,data-pool/ethereum-goerli-archive,551G
162.19.136.65,eu-de1-11,data-pool/ethereum-goerli-archive,552G
51.81.184.91,us-west1-17,data-pool/ethereum-goerli-archive,556G
162.19.136.66,eu-de1-10,data-pool/ethereum-goerli-archive,557G
51.81.184.87,us-west1-19,data-pool/ethereum-goerli-archive,757G
51.89.64.18,eu-de1-13,data-pool/ethereum-goerli-archive,771G
51.89.64.18,eu-de1-13,data-pool/ethereum-goerli-archive,771G
51.89.64.18,eu-de1-app02,data-pool/ethereum-goerli-archive,771G
51.81.184.18,us-west1-08,data-pool/ethereum-mainnet,1.56T
51.81.184.9,us-west1-01,data-pool/ethereum-mainnet,1.56T
162.19.136.66,eu-de1-10,data-pool/ethereum-mainnet,1.85T
51.89.64.18,eu-de1-13,data-pool/ethereum-mainnet,1.85T
51.89.64.18,eu-de1-13,data-pool/ethereum-mainnet,1.85T
51.89.64.18,eu-de1-app02,data-pool/ethereum-mainnet,1.85T
51.81.184.85,us-west1-02,data-pool/ethereum-mainnet,2.02T
162.19.138.4,eu-de1-17,data-pool/ethereum-mainnet,2.03T
51.89.64.67,eu-de1-14,data-pool/ethereum-mainnet,2.34T
51.89.64.67,eu-de1-app01,data-pool/ethereum-mainnet,2.34T
51.81.184.18,us-west1-08,data-pool/ethereum-mainnet-archive,1.96T
141.95.45.56,eu-de1-08,data-pool/ethereum-mainnet-archive,2.06T
135.125.160.122,eu-de1-03,data-pool/ethereum-mainnet-archive,2.07T
51.81.184.88,us-west1-14,data-pool/ethereum-mainnet-archive,3.02T
51.81.184.87,us-west1-19,data-pool/ethereum-mainnet-archive,3.98T
51.81.184.86,us-west1-13,data-pool/ethereum-mainnet-archive,4.45T
141.95.45.80,eu-de1-01,data-pool/ethereum-mainnet-archive,5.84T
162.19.136.66,eu-de1-10,data-pool/ethereum-mainnet-pebble-sync,1005G
51.81.184.85,us-west1-02,data-pool/ethereum-mainnet-pebble-sync,1006G
162.19.136.65,eu-de1-11,data-pool/ethereum-sepolia,16.3G
51.195.63.10,eu-de1-15,data-pool/ethereum-sepolia,16.3G
51.81.184.87,us-west1-19,data-pool/ethereum-sepolia,16.3G
51.81.244.140,us-west1-09,data-pool/ethereum-sepolia,19.2G
51.81.184.89,us-west1-18,data-pool/ethereum-sepolia,27.7G
162.19.136.66,eu-de1-10,data-pool/ethereum-sepolia,31.2G
162.19.136.65,eu-de1-11,data-pool/ethereum-sepolia-archive,25.8G
51.81.184.87,us-west1-19,data-pool/ethereum-sepolia-archive,25.9G
51.81.244.140,us-west1-09,data-pool/ethereum-sepolia-archive,25.9G
51.195.63.10,eu-de1-15,data-pool/ethereum-sepolia-archive,26.0G
162.19.136.66,eu-de1-10,data-pool/ethereum-sepolia-archive,50.6G
51.81.184.89,us-west1-18,data-pool/ethereum-sepolia-archive,71.3G
162.19.138.4,eu-de1-17,data-pool/jdtest,250G
141.95.45.80,eu-de1-01,data-pool/klaytn-baobab,246G
135.125.160.122,eu-de1-03,data-pool/klaytn-baobab,250G
51.81.184.88,us-west1-14,data-pool/klaytn-baobab,628G
51.81.184.9,us-west1-01,data-pool/klaytn-baobab,629G
135.125.160.121,eu-de1-02,data-pool/klaytn-baobab-archive,1.52T
141.95.45.80,eu-de1-01,data-pool/klaytn-baobab-archive,1.52T
51.81.184.88,us-west1-14,data-pool/klaytn-baobab-archive,1.52T
51.81.184.9,us-west1-01,data-pool/klaytn-baobab-archive,1.52T
162.19.136.65,eu-de1-11,data-pool/klaytn-cypress,3.29T
141.95.45.80,eu-de1-01,data-pool/klaytn-cypress,4.05T
51.81.184.91,us-west1-17,data-pool/klaytn-cypress,4.05T
51.81.184.89,us-west1-18,data-pool/klaytn-cypress,4.06T
135.125.160.121,eu-de1-02,data-pool/klaytn-cypress-archive,13.7T
135.125.160.122,eu-de1-03,data-pool/klaytn-cypress-archive,13.7T
51.81.184.18,us-west1-08,data-pool/klaytn-cypress-archive,13.7T
51.81.184.9,us-west1-01,data-pool/klaytn-cypress-archive,13.7T
141.95.45.187,eu-de1-07,data-pool/litecoin-mainnet-core,110G
162.19.136.25,eu-de1-09,data-pool/litecoin-mainnet-core,110G
51.81.244.142,us-west1-12,data-pool/litecoin-mainnet-core,110G
51.81.244.143,us-west1-11,data-pool/litecoin-mainnet-core,110G
51.81.244.144,us-west1-10,data-pool/litecoin-mainnet-core,110G
